"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","644","1,171","1,381","1,439","1,328"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","644","1,171","1,381","1,439","1,328"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.056","0.102","0.120","0.125","0.116"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.0","2.9","2.8","2.8","2.7"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.9","2.8","2.8","2.7"
"Western Alberta Upland (ecoregion)","Total population","70,539","72,924","75,880","76,139","80,191"
,"Population in population centres 5","42,102","41,185","44,041","43,132","41,907"
,"Population in rural areas 5","28,437","31,739","31,839","33,007","38,284"
,"","Number per square kilometre",,,,
,"Total population density","0.904","0.934","0.972","0.975","1.027"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","59.7","56.5","58.0","56.6","52.3"
,"Population in rural areas as a share of total population 5","40.3","43.5","42.0","43.4","47.7"
,"","Number",,,,
,"Private occupied dwellings 6","23,936","26,081","28,096","29,008","30,544"
,"Private occupied dwellings in population centres 5 6","14,376","14,927","16,570","16,824","16,173"
,"Private occupied dwellings in rural areas 5 6","9,560","11,154","11,526","12,184","14,371"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.307","0.334","0.360","0.372","0.391"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.9","2.8","2.7","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.9","2.8","2.7","2.6","2.6"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.8","2.8","2.7","2.7"
"Mid-Boreal Lowland (ecoregion)","Total population","19,097","19,498","20,188","21,322","20,482"
,"Population in population centres 5","7,425","7,647","7,227","8,167","7,719"
,"Population in rural areas 5","11,672","11,851","12,961","13,155","12,763"
,"","Number per square kilometre",,,,
,"Total population density","0.334","0.341","0.353","0.373","0.358"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","38.9","39.2","35.8","38.3","37.7"
,"Population in rural areas as a share of total population 5","61.1","60.8","64.2","61.7","62.3"
,"","Number",,,,
,"Private occupied dwellings 6","6,033","6,491","6,741","7,066","6,674"
,"Private occupied dwellings in population centres 5 6","2,783","3,031","2,899","3,152","2,878"
,"Private occupied dwellings in rural areas 5 6","3,250","3,460","3,842","3,914","3,796"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.106","0.114","0.118","0.124","0.117"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.2","3.0","3.0","3.0","3.1"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.5","2.5","2.6","2.7"
,"Population per private occupied dwelling in rural areas 5 6","3.6","3.4","3.4","3.4","3.4"
"Boreal Transition (ecoregion)","Total population","315,166","319,643","322,242","335,143","344,520"
,"Population in population centres 5","116,210","117,958","118,736","127,595","121,198"
,"Population in rural areas 5","198,956","201,685","203,506","207,548","223,322"
,"","Number per square kilometre",,,,
,"Total population density","3.359","3.407","3.434","3.572","3.672"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","36.9","36.9","36.8","38.1","35.2"
,"Population in rural areas as a share of total population 5","63.1","63.1","63.2","61.9","64.8"
,"","Number",,,,
,"Private occupied dwellings 6","112,156","117,885","121,511","127,086","131,497"
,"Private occupied dwellings in population centres 5 6","44,020","46,427","46,933","50,729","48,174"
,"Private occupied dwellings in rural areas 5 6","68,136","71,458","74,578","76,357","83,323"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","1.195","1.256","1.295","1.354","1.401"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.7","2.7","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.5","2.5","2.5","2.5"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.8","2.7","2.7","2.7"
"Interlake Plain (ecoregion)","Total population","96,365","99,267","104,288","111,985","119,319"
,"Population in population centres 5","26,434","27,495","29,002","35,741","41,453"
,"Population in rural areas 5","69,931","71,772","75,286","76,244","77,866"
,"","Number per square kilometre",,,,
,"Total population density","2.950","3.039","3.193","3.428","3.653"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","27.4","27.7","27.8","31.9","34.7"
,"Population in rural areas as a share of total population 5","72.6","72.3","72.2","68.1","65.3"
,"","Number",,,,
,"Private occupied dwellings 6","34,823","36,963","39,179","42,129","44,844"
,"Private occupied dwellings in population centres 5 6","10,515","11,246","11,904","14,224","16,564"
,"Private occupied dwellings in rural areas 5 6","24,308","25,717","27,275","27,905","28,280"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","1.066","1.132","1.199","1.290","1.373"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.7","2.7","2.7","2.7"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.4","2.4","2.5","2.5"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.8","2.8","2.7","2.8"
"Prairies (ecozone)","Total population","3,969,965","4,208,753","4,501,726","4,924,461","5,436,337"
,"Population in population centres 5","3,228,953","3,481,002","3,768,319","4,169,429","4,631,318"
,"Population in rural areas 5","741,012","727,751","733,407","755,032","805,019"
,"","Number per square kilometre",,,,
,"Total population density","9.033","9.576","10.243","11.204","12.369"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","81.3","82.7","83.7","84.7","85.2"
,"Population in rural areas as a share of total population 5","18.7","17.3","16.3","15.3","14.8"
,"","Number",,,,
,"Private occupied dwellings 6","1,489,290","1,621,488","1,766,331","1,918,202","2,084,073"
,"Private occupied dwellings in population centres 5 6","1,240,617","1,368,755","1,507,020","1,650,263","1,795,245"
,"Private occupied dwellings in rural areas 5 6","248,673","252,733","259,311","267,939","288,828"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","3.389","3.689","4.019","4.364","4.742"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.6","2.5","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.5","2.5","2.5","2.6"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.9","2.8","2.8","2.8"
"Aspen Parkland (ecoregion)","Total population","1,692,307","1,853,130","2,035,215","2,250,567","2,496,162"
,"Population in population centres 5","1,320,991","1,481,099","1,661,398","1,865,503","2,082,262"
,"Population in rural areas 5","371,316","372,031","373,817","385,064","413,900"
,"","Number per square kilometre",,,,
,"Total population density","10.208","11.178","12.277","13.576","15.057"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","78.1","79.9","81.6","82.9","83.4"
,"Population in rural areas as a share of total population 5","21.9","20.1","18.4","17.1","16.6"
,"","Number",,,,
,"Private occupied dwellings 6","622,692","700,119","786,062","865,770","946,617"
,"Private occupied dwellings in population centres 5 6","494,457","567,514","650,003","724,798","793,182"
,"Private occupied dwellings in rural areas 5 6","128,235","132,605","136,059","140,972","153,435"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","3.756","4.223","4.742","5.222","5.710"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.8","2.7","2.7","2.7"
"Moist Mixed Grassland (ecoregion)","Total population","667,013","672,553","684,689","740,820","808,457"
,"Population in population centres 5","543,193","551,352","564,530","619,404","670,712"
,"Population in rural areas 5","123,820","121,201","120,159","121,416","137,745"
,"","Number per square kilometre",,,,
,"Total population density","7.062","7.121","7.250","7.844","8.560"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","81.4","82.0","82.5","83.6","83.0"
,"Population in rural areas as a share of total population 5","18.6","18.0","17.5","16.4","17.0"
,"","Number",,,,
,"Private occupied dwellings 6","253,517","264,822","276,069","296,367","319,654"
,"Private occupied dwellings in population centres 5 6","212,176","222,750","233,604","253,518","270,550"
,"Private occupied dwellings in rural areas 5 6","41,341","42,072","42,465","42,849","49,104"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","2.684","2.804","2.923","3.138","3.385"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.5","2.5","2.5","2.5"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.5","2.4","2.4","2.5"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.9","2.8","2.8","2.8"
"Fescue Grassland (ecoregion)","Total population","624,696","690,769","767,146","866,717","1,005,942"
,"Population in population centres 5","585,058","654,868","728,461","825,364","963,331"
,"Population in rural areas 5","39,638","35,901","38,685","41,353","42,611"
,"","Number per square kilometre",,,,
,"Total population density","46.566","51.492","57.185","64.607","74.986"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","93.7","94.8","95.0","95.2","95.8"
,"Population in rural areas as a share of total population 5","6.3","5.2","5.0","4.8","4.2"
,"","Number",,,,
,"Private occupied dwellings 6","237,234","267,108","302,270","338,427","381,315"
,"Private occupied dwellings in population centres 5 6","225,299","255,743","289,690","324,688","367,439"
,"Private occupied dwellings in rural areas 5 6","11,935","11,365","12,580","13,739","13,876"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","17.684","19.911","22.532","25.227","28.424"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.6","2.5","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.6","2.5","2.5","2.6"
,"Population per private occupied dwelling in rural areas 5 6","3.3","3.2","3.1","3.0","3.1"
"Mixed Grassland (ecoregion)","Total population","189,942","191,092","192,390","200,064","204,767"
,"Population in population centres 5","103,877","109,484","113,111","119,631","122,483"
,"Population in rural areas 5","86,065","81,608","79,279","80,433","82,284"
,"","Number per square kilometre",,,,
,"Total population density","1.486","1.495","1.505","1.565","1.602"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","54.7","57.3","58.8","59.8","59.8"
,"Population in rural areas as a share of total population 5","45.3","42.7","41.2","40.2","40.2"
,"","Number",,,,
,"Private occupied dwellings 6","70,035","73,329","75,205","78,351","79,795"
,"Private occupied dwellings in population centres 5 6","40,931","44,383","46,763","49,611","50,120"
,"Private occupied dwellings in rural areas 5 6","29,104","28,946","28,442","28,740","29,675"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.548","0.574","0.588","0.613","0.624"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.5","2.4","2.4","2.4"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.8","2.8","2.8","2.8"
"Cypress Upland (ecoregion)","Total population","2,506","2,607","2,645","2,509","2,676"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","2,506","2,607","2,645","2,509","2,676"
,"","Number per square kilometre",,,,
,"Total population density","0.346","0.360","0.365","0.346","0.369"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","864","887","903","884","849"
